product_id,name,category,price
1,Managed eco-centric encryption,Books,58.44
2,Customer-focused methodical encoding,Electronics,78.43
3,Mandatory actuating groupware,Sports,193.55
4,Programmable disintermediate archive,Sports,397.58
5,Vision-oriented radical process improvement,Sports,111.44
6,Organic well-modulated attitude,Books,366.16
7,Self-enabling local paradigm,Home & Kitchen,344.98
8,Decentralized attitude-oriented approach,Electronics,373.57
9,Automated homogeneous functionalities,Sports,283.03
10,Team-oriented asymmetric toolset,Books,361.93
11,De-engineered analyzing website,Electronics,110.31
12,Organic analyzing framework,Home & Kitchen,186.94
13,Seamless responsive Internet solution,Books,487.4
14,Cloned bi-directional service-desk,Sports,-4.47
15,Centralized next generation application,,382.39
16,Implemented homogeneous initiative,,285.33
17,Cross-platform regional system engine,Electronics,267.59
18,Open-source discrete policy,Home & Kitchen,165.57
19,Switchable regional access,Electronics,378.45
20,Persevering human-resource Local Area Network,Books,223.81
21,Optimized regional process improvement,Home & Kitchen,145.21
22,Cross-platform global projection,Home & Kitchen,-30.63
23,Synergistic zero tolerance algorithm,Clothing,383.26
24,Persevering multi-state groupware,,91.97
25,Reverse-engineered content-based benchmark,Sports,404.07
26,Customer-focused 24/7 policy,Books,-4.86
27,Universal asymmetric parallelism,Books,211.76
28,Ergonomic object-oriented capacity,Clothing,310.97
29,Sharable multimedia extranet,Books,125.44
30,Multi-channeled intangible matrices,Home & Kitchen,114.68
31,Up-sized regional intranet,Electronics,100.98
32,Enterprise-wide dynamic challenge,Clothing,77.49
33,Balanced analyzing capacity,Electronics,387.56
34,Integrated optimal Internet solution,Sports,462.46
35,Profound solution-oriented system engine,Home & Kitchen,315.47
36,Multi-channeled fault-tolerant paradigm,Home & Kitchen,297.75
37,Quality-focused zero-defect circuit,Books,-31.93
38,Digitized methodical function,Electronics,256.0
39,Robust global frame,Electronics,405.86
40,Multi-layered 24/7 model,Sports,35.63
41,Reverse-engineered stable service-desk,Electronics,90.42
42,Digitized analyzing encoding,Sports,83.58
43,Profit-focused next generation application,Home & Kitchen,30.92
44,Optimized grid-enabled customer loyalty,Electronics,196.35
45,Exclusive scalable customer loyalty,Sports,170.01
46,Cloned global core,Home & Kitchen,350.75
47,Synchronized methodical solution,Electronics,191.46
48,Team-oriented maximized policy,Sports,336.88
49,Team-oriented full-range paradigm,Clothing,174.16
50,Re-contextualized full-range pricing structure,Clothing,151.42
51,Innovative intangible groupware,Sports,-33.5
52,Diverse bi-directional knowledgebase,Clothing,416.52
53,Balanced modular definition,Books,-32.15
54,Adaptive scalable definition,Home & Kitchen,392.98
55,Team-oriented discrete Local Area Network,Books,101.04
56,Secured didactic encoding,Books,390.17
57,Polarized user-facing throughput,Clothing,73.51
58,Managed user-facing implementation,Home & Kitchen,55.78
59,Expanded impactful contingency,Electronics,140.03
60,Adaptive high-level access,Electronics,114.91
61,Compatible heuristic algorithm,Books,253.49
62,Realigned bifurcated circuit,Clothing,-4.39
63,Implemented leadingedge core,Clothing,147.01
64,Self-enabling optimal task-force,Books,7.6
65,Ergonomic object-oriented capacity,Sports,306.4
66,Multi-lateral 6thgeneration algorithm,Home & Kitchen,123.03
67,Exclusive dedicated forecast,Electronics,252.42
68,Multi-lateral 6thgeneration algorithm,Clothing,5.77
69,Enhanced directional firmware,Electronics,183.5
70,Up-sized context-sensitive Graphical User Interface,Sports,198.27
71,Reactive dynamic conglomeration,Home & Kitchen,13.04
72,Exclusive 3rdgeneration conglomeration,Electronics,368.92
73,Fundamental bandwidth-monitored adapter,Home & Kitchen,91.67
74,Synergistic client-driven implementation,Books,406.69
75,Streamlined zero tolerance budgetary management,Electronics,26.68
76,Mandatory demand-driven function,Home & Kitchen,494.62
77,Persevering disintermediate hub,,146.62
78,Multi-layered stable concept,Home & Kitchen,400.67
79,Progressive regional Internet solution,Books,97.47
80,Universal asymmetric capability,Sports,45.89
81,Digitized clear-thinking utilization,Clothing,164.0
82,Ergonomic content-based monitoring,Books,215.93
83,Multi-tiered system-worthy hub,Home & Kitchen,220.3
84,Intuitive radical interface,Electronics,206.07
85,Sharable dynamic analyzer,Electronics,305.75
86,Virtual reciprocal parallelism,Clothing,186.33
87,Ergonomic national frame,,227.71
88,Distributed fresh-thinking encryption,Sports,186.64
89,Business-focused responsive utilization,Electronics,-40.88
90,Grass-roots clear-thinking migration,Home & Kitchen,353.5
91,Reduced mobile database,Books,72.19
92,Upgradable attitude-oriented toolset,Books,406.2
93,Phased stable pricing structure,Home & Kitchen,277.25
94,Cloned composite migration,Clothing,256.83
95,Networked web-enabled project,Clothing,18.01
96,Versatile multimedia hub,Sports,442.7
97,Proactive multi-state Local Area Network,Books,385.74
98,Enhanced fresh-thinking structure,Home & Kitchen,227.74
99,Multi-layered multi-tasking solution,Sports,95.07
100,Polarized transitional methodology,Electronics,261.46
